fdc_id,description,protein_g,fat_g,carbs_g,calories_kcal,fiber_g,sodium_mg,saturated_fat_g
173000,"Cereals ready-to-eat, MALT-O-MEAL, Frosted Mini SPOONERS",9.09,1.94,81.81,354.0,10.9,18.0,0.228
173001,"Cereals ready-to-eat, MALT-O-MEAL, Fruity DYNO-BITES",3.9,3.15,90.1,404.0,1.0,630.0,0.64
174643,"Cereals ready-to-eat, MALT-O-MEAL, GOLDEN PUFFS",5.77,0.89,89.72,370.0,2.6,204.0,0.161
172995,"Cereals ready-to-eat, MALT-O-MEAL, HONEY GRAHAM SQUARES",4.46,9.97,74.68,398.0,4.4,838.0,1.5
174642,"Cereals ready-to-eat, MALT-O-MEAL, Honey BUZZERS",3.45,1.72,89.66,379.0,3.4,759.0,0.585
171681,"Cereals ready-to-eat, MALT-O-MEAL, Honey Nut SCOOTERS",8.59,4.51,79.62,387.0,6.3,695.0,0.63
173909,"Cereals ready-to-eat, MALT-O-MEAL, MARSHMALLOW MATEYS",6.94,3.53,82.77,387.0,4.9,667.0,0.719
171679,"Cereals ready-to-eat, MALT-O-MEAL, OAT BLENDERS with honey",6.78,4.17,84.94,396.0,5.0,515.0,0.5
171680,"Cereals ready-to-eat, MALT-O-MEAL, OAT BLENDERS with honey & almonds",7.8,4.88,77.26,379.0,6.1,453.0,0.62
172996,"Cereals ready-to-eat, MALT-O-MEAL, Raisin Bran Cereal",7.63,1.87,80.37,342.0,10.2,466.0,0.424
172984,"Cereals ready-to-eat, MALT-O-MEAL, TOOTIE FRUITIES",4.69,3.2,85.94,391.0,2.2,453.0,0.687
174644,"Cereals ready-to-eat, MOM'S BEST, Honey Nut TOASTY O'S",8.6,4.51,79.84,388.0,6.3,683.0,0.55
173927,"Cereals ready-to-eat, MOM'S BEST, Sweetened WHEAT-FULS",8.18,1.83,80.91,373.0,10.0,14.0,0.0
173017,"Cereals ready-to-eat, NATURE'S PATH, Organic FLAX PLUS flakes",11.91,5.46,75.27,350.0,16.6,458.0,0.62
174654,"Cereals ready-to-eat, NATURE'S PATH, Organic FLAX PLUS, Pumpkin Granola",11.23,18.33,66.1,467.0,8.4,74.0,2.8
167725,"Cereals ready-to-eat, OAT BRAN FLAKES, HEALTH VALLEY",10.0,3.0,78.0,380.0,8.0,380.0,1.0
173888,"Cereals ready-to-eat, POST Bran Flakes",9.9,2.1,80.5,328.0,18.3,540.0,0.4
169870,"Cereals ready-to-eat, POST GREAT GRAINS Banana Nut Crunch",9.8,8.8,70.9,390.0,11.2,238.0,1.1
173005,"Cereals ready-to-eat, POST GREAT GRAINS Cranberry Almond Crunch",8.9,5.9,76.6,384.0,11.1,214.0,0.8
173020,"Cereals ready-to-eat, POST HONEY BUNCHES OF OATS with cinnamon bunches",7.1,5.0,82.8,400.0,5.8,464.0,0.6
171650,"Cereals ready-to-eat, POST Raisin Bran Cereal",7.6,1.6,78.9,324.0,13.7,382.0,0.296
173919,"Cereals ready-to-eat, POST SELECTS Blueberry Morning",6.5,5.3,81.6,395.0,4.7,341.0,0.6
174653,"Cereals ready-to-eat, POST SELECTS Maple Pecan Crunch",8.5,8.7,77.4,413.0,7.4,239.0,1.0
171641,"Cereals ready-to-eat, POST, ALPHA-BITS",10.0,4.6,80.3,389.0,7.1,592.0,1.1
173885,"Cereals ready-to-eat, POST, COCOA PEBBLES",4.8,4.1,85.7,397.0,1.6,594.0,3.6
171645,"Cereals ready-to-eat, POST, FRUITY PEBBLES",4.62,4.02,86.1,402.0,0.8,531.0,3.6
171652,"Cereals ready-to-eat, POST, GOLDEN CRISP",5.5,1.7,90.1,380.0,5.0,95.0,0.2
171647,"Cereals ready-to-eat, POST, GRAPE-NUTS Cereal",11.22,1.81,80.49,361.0,13.0,465.0,0.34
171648,"Cereals ready-to-eat, POST, GRAPE-NUTS Flakes",9.4,3.7,82.0,376.0,10.2,470.0,0.5
169862,"Cereals ready-to-eat, POST, GREAT GRAINS Crunchy Pecan Cereal",9.0,10.5,73.0,403.0,9.7,287.0,1.0
169041,"Cereals ready-to-eat, POST, GREAT GRAINS, Raisin, Date & Pecan",7.9,7.1,74.3,378.0,9.3,247.0,0.8
173015,"Cereals ready-to-eat, POST, HONEY BUNCHES OF OATS with vanilla bunches",7.9,5.1,81.8,394.0,7.8,267.0,0.6
168138,"Cereals ready-to-eat, POST, HONEY BUNCHES OF OATS, honey roasted",7.12,5.46,81.19,401.0,4.2,454.0,0.64
174663,"Cereals ready-to-eat, POST, HONEY BUNCHES OF OATS, pecan bunches",7.0,5.4,82.0,399.0,5.2,483.0,0.7
169859,"Cereals ready-to-eat, POST, HONEY BUNCHES OF OATS, with almonds",7.7,7.3,79.6,409.0,5.5,417.0,0.8
173019,"Cereals ready-to-eat, POST, HONEY BUNCHES OF OATS, with real strawberries",6.7,4.9,83.3,399.0,5.4,410.0,0.6
173894,"Cereals ready-to-eat, POST, Honey Nut Shredded Wheat",8.5,2.9,83.6,373.0,10.7,102.0,0.4
173889,"Cereals ready-to-eat, POST, Honeycomb Cereal",6.01,2.93,86.63,394.0,3.2,553.0,1.29
167715,"Cereals ready-to-eat, POST, Shredded Wheat n' Bran, spoon-size",10.93,2.06,80.65,339.0,14.7,0.0,0.43
173918,"Cereals ready-to-eat, POST, Shredded Wheat, lightly frosted, spoon-size",7.8,1.9,83.8,352.0,9.6,19.0,0.3
173910,"Cereals ready-to-eat, POST, Shredded Wheat, original big biscuit",11.37,2.01,78.96,337.0,12.4,2.0,0.41
173911,"Cereals ready-to-eat, POST, Shredded Wheat, original spoon-size",11.8,2.1,81.4,351.0,12.4,2.0,0.4
174628,"Cereals ready-to-eat, Post, Waffle Crisp",6.6,5.0,83.0,390.0,4.4,596.0,0.9
173014,"Cereals ready-to-eat, QUAKER Oatmeal Squares, Golden Maple",11.3,4.83,78.04,380.0,8.3,347.0,0.874
173921,"Cereals ready-to-eat, QUAKER WHOLE HEARTS oat cereal",7.63,5.61,80.1,376.0,9.1,554.0,0.839
173892,"Cereals ready-to-eat, QUAKER, 100% Natural Granola, Oats, Wheat and Honey",10.55,11.62,73.65,421.0,10.2,50.0,1.24
171642,"Cereals ready-to-eat, QUAKER, CAP'N CRUNCH",4.39,5.12,85.51,398.0,2.5,754.0,3.346
171643,"Cereals ready-to-eat, QUAKER, CAP'N CRUNCH with CRUNCHBERRIES",4.45,4.83,85.93,397.0,2.6,725.0,3.08
174657,"Cereals ready-to-eat, QUAKER, CAP'N CRUNCH'S Halloween Crunch",4.41,5.66,85.14,402.0,2.5,719.0,3.115
171644,"Cereals ready-to-eat, QUAKER, CAP'N CRUNCH'S PEANUT BUTTER CRUNCH",7.1,9.23,78.65,417.0,2.7,742.0,3.92
173013,"Cereals ready-to-eat, QUAKER, Cap'n Crunch's OOPS! All Berries Cereal",4.6,3.99,87.1,395.0,2.6,637.0,2.291
174652,"Cereals ready-to-eat, QUAKER, Christmas Crunch",4.44,4.83,85.92,397.0,2.6,724.0,3.081
174621,"Cereals ready-to-eat, QUAKER, HONEY GRAHAM OH!S",3.92,7.63,83.65,412.0,2.1,679.0,5.709
173890,"Cereals ready-to-eat, QUAKER, KING VITAMAN",6.41,3.44,83.85,381.0,3.4,825.0,1.584
172976,"Cereals ready-to-eat, QUAKER, Low Fat 100% Natural Granola with Raisins",8.42,5.52,80.57,388.0,9.6,234.0,0.97
174634,"Cereals ready-to-eat, QUAKER, MOTHER'S COCOA BUMPERS",4.21,1.61,89.91,382.0,2.7,452.0,0.31
174632,"Cereals ready-to-eat, QUAKER, MOTHER'S Cinnamon Oat Crunch",10.6,4.56,79.79,382.0,8.1,275.0,0.82
174633,"Cereals ready-to-eat, QUAKER, MOTHER'S GRAHAM BUMPERS",4.55,1.45,88.89,379.0,2.6,758.0,0.28
172985,"Cereals ready-to-eat, QUAKER, MOTHER'S PEANUT BUTTER BUMPERS Cereal",7.62,7.33,79.68,407.0,2.5,774.0,1.45
172986,"Cereals ready-to-eat, QUAKER, MOTHER'S Toasted Oat Bran cereal",11.45,5.04,75.41,372.0,8.6,653.0,0.89
174659,"Cereals ready-to-eat, QUAKER, Maple Brown Sugar LIFE Cereal",9.17,4.06,78.86,373.0,6.3,477.0,0.765
174658,"Cereals ready-to-eat, QUAKER, Natural Granola Apple Cranberry Almond",9.21,11.06,74.73,418.0,9.9,47.0,1.13
174622,"Cereals ready-to-eat, QUAKER, Oatmeal Squares",11.38,4.83,77.77,379.0,8.3,347.0,0.873
174623,"Cereals ready-to-eat, QUAKER, Oatmeal Squares, cinnamon",11.23,4.88,78.09,379.0,8.7,344.0,0.88
172975,"Cereals ready-to-eat, QUAKER, QUAKER 100% Natural Granola with Oats, Wheat, Honey, and Raisins",9.66,10.38,74.67,412.0,9.4,54.0,1.12
173886,"Cereals ready-to-eat, QUAKER, QUAKER CRUNCHY BRAN",6.37,4.06,83.68,331.0,15.3,759.0,2.03
173007,"Cereals ready-to-eat, QUAKER, QUAKER Honey Graham LIFE Cereal",9.33,4.14,78.56,373.0,6.3,488.0,0.77
174620,"Cereals ready-to-eat, QUAKER, QUAKER OAT CINNAMON LIFE",9.14,4.1,79.02,374.0,6.3,463.0,0.77
173891,"Cereals ready-to-eat, QUAKER, QUAKER OAT LIFE, plain",9.98,4.43,77.74,374.0,6.6,501.0,0.83
171651,"Cereals ready-to-eat, QUAKER, QUAKER Puffed Rice",7.01,0.9,87.78,383.0,1.4,5.0,0.325
171669,"Cereals ready-to-eat, QUAKER, QUAKER Puffed Wheat",16.26,2.15,76.39,366.0,9.4,5.0,0.413
171649,"Cereals ready-to-eat, QUAKER, SWEET CRUNCH/QUISP",4.51,6.08,85.03,406.0,2.3,740.0,4.442
172987,"Cereals ready-to-eat, QUAKER, Shredded Wheat, bagged cereal",11.24,2.01,81.01,348.0,11.8,4.0,0.405
172974,"Cereals ready-to-eat, QUAKER, Toasted Multigrain Crisps",12.38,5.11,74.9,372.0,10.2,365.0,0.91
173887,"Cereals ready-to-eat, RALSTON CRISP RICE",6.69,1.26,86.22,383.0,0.7,545.0,0.36
173003,"Cereals ready-to-eat, RALSTON Corn Biscuits",5.83,1.05,85.79,376.0,2.6,767.0,0.193
174648,"Cereals ready-to-eat, RALSTON Corn Flakes",5.9,0.91,88.01,384.0,2.7,571.0,0.227
174649,"Cereals ready-to-eat, RALSTON Crispy Hexagons",5.94,0.95,86.78,379.0,1.5,517.0,0.263
173002,"Cereals ready-to-eat, RALSTON Enriched Wheat Bran flakes",10.21,3.36,79.77,390.0,16.9,586.0,0.433
173893,"Cereals ready-to-eat, RALSTON TASTEEOS",10.71,5.36,75.96,395.0,10.7,571.0,0.926
